time,ref_x,ref_y,ref_z,x,y,z,est_x,est_y,est_z,phi,theta,psi,est_phi,est_theta,est_psi,dx,dy,dz,est_dx,est_dy,est_dz,p,q,r,est_p,est_q,est_r,ref_phi,ref_theta,ref_psi,cmd_T,cmd_tau_phi,cmd_tau_theta,cmd_tau_psi,real_T,real_tau_phi,real_tau_theta,real_tau_psi,acc_x,acc_y,acc_z,meas_acc_x,meas_acc_y,meas_acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,mocap_x,mocap_y,mocap_z,p_ddot_hat_x,p_ddot_hat_y,p_ddot_hat_z
0.0000,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x1.48d678p-15,-0x1.2ba7d4p-15,0x1.d2bc1cp-20,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x1.64c2717c80e25p-13,0x1.619b526880e25p-13,0x1.632ee1f280e25p-13,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.07b921fbd4dafp-17,-0x1.9de09ee2694a1p-21,-0x1.27a9781c2ebfep-17,0x1.20ce703afb7eap+2,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3eb851eb851ecp+3,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0
0.0050,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x1.476278p-14,-0x1.2a3d3p-14,0x1.d29276p-19,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x1.0e95fb6b964f5p-12,0x1.0b72984b964f5p-12,0x1.0d0450019716dp-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.07b921fbd4dafp-17,-0x1.9de09ee2694a1p-21,-0x1.27a9781c2ebfep-17,0x1.20ce703afb7eap+2,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3eb851eb851ecp+3,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0
0.0100,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,0x0p+0,-0x1.90a98ba8fa71bp-27,-0x1.4dec3e5a098e2p-33,0x1.6b095b305ec9dp-51,0x0p+0,0x0p+0,0x0p+0,0x1.e9f64p-14,-0x1.be4c74p-14,0x1.5dcdd2p-18,0x0p+0,0x0p+0,0x0p+0,-0x1.62f2b28392b95p-20,-0x1.356a066cd62b3p-25,0x1.503e16593f727p-43,0x0p+0,0x0p+0,0x0p+0,0x1.3e6e55340e4a9p-12,0x1.39bc1af40e4a9p-12,0x1.3c154a81f3249p-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.3a13b58cedd2ap-16,0x1.920fc0ed3b5d4p-19,-0x1.0e4a5c50e9b52p-16,0x1.20ce703afb7eap+2,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3eb851eb851ecp+3,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x1.32c20ec36b141p-3,0x1.326b7a0996cbfp-3,0x1.33333332af43p-3
0.0150,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,0x0p+0,-0x1.90a98ba8fa71bp-27,-0x1.4dec3e5a098e2p-33,0x1.6b095b305ec9dp-51,0x0p+0,0x0p+0,0x0p+0,0x1.461e34p-13,-0x1.290bbcp-13,0x1.d23d3cp-18,0x0p+0,0x0p+0,0x0p+0,-0x1.62f2b28392b95p-20,-0x1.356a066cd62b3p-25,0x1.503e16593f727p-43,0x0p+0,0x0p+0,0x0p+0,0x1.577030219789dp-12,0x1.512fe4499789dp-12,0x1.54502f05395ddp-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.3a13b58cedd2ap-16,0x1.920fc0ed3b5d4p-19,-0x1.0e4a5c50e9b52p-16,0x1.20a5607e5b862p+2,-0x1.43e3ff5cp-20,-0x1.fc4d4efcp-24,-0x1.6b1dbbe8b4p-20,0x0p+0,0x0p+0,-0x1.650e6837658p-8,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3e8bb01e7e321p+3,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x1.32c20ec36b141p-3,0x1.326b7a0996cbfp-3,0x1.33333332af43p-3
0.0200,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,0x0p+0,0x1.f335fde361255p-18,0x1.f5fbfebcd91c6p-18,0x1.d58f78363c901p-18,0x0p+0,0x0p+0,0x0p+0,0x1.687c12p-13,-0x1.25056ap-13,0x1.186784p-16,0x0p+0,0x0p+0,-0x1.c908337a1b852p-16,0x1.877ce3a30ca7ap-10,0x1.88303e43eb586p-10,0x1.6ed815e93fa91p-10,-0x1.697c2cffd2492p-19,-0x1.b630fd78234f7p-23,-0x1.568ff9b9b84d4p-20,0x1.62d997e5640d1p-12,0x1.5d8faa5ce6dfcp-12,0x1.604e872ed0b09p-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.a45b12e25c1ep-16,0x1.71497374608cap-18,-0x1.522f00731e1ebp-16,0x1.20829e801ef6ep+2,-0x1.2b076fe1cp-19,-0x1.d5490086p-23,-0x1.4f3e60e72ap-19,0x0p+0,0x0p+0,-0x1.49a6214f85cp-7,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3e65e863313d5p+3,0x1.6b32ae3bf8748p-12,0x1.6dcee0764914ap-12,0x1.6caf169c3e60cp-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x1.31b67b3d7a78ep-3,0x1.30de4dfce98f6p-3,0x1.333333333334p-3
0.0250,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,-0x1.248020f1fd22p-23,0x1.f335fde361255p-18,0x1.f5fbfebcd91c6p-18,0x1.d58f78363c901p-18,-0x1.ceb36ccc92492p-27,-0x1.1871460f72c23p-30,-0x1.b67ad93fa439fp-28,0x1.8aa102p-13,-0x1.210244p-13,0x1.bbb07ep-16,0x0p+0,0x0p+0,-0x1.453bbbc9bdc29p-14,0x1.877ce3a30ca7ap-10,0x1.88303e43eb586p-10,0x1.6ed815e93fa91p-10,-0x1.013d7ad46e774p-17,-0x1.37d36f81b495cp-21,-0x1.e78c7eecd7844p-19,0x1.6657ad4ad8e82p-12,0x1.63bde0beb6a34p-12,0x1.655d215e101b8p-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.a45b12e25c1ep-16,0x1.71497374608cap-18,-0x1.522f00731e1ebp-16,0x1.206532830ce22p+2,-0x1.3f6d7382f8p-18,0x1.272b70f38p-22,-0x1.33ddeedcd9p-18,-0x1.57672e105f5bep-27,0x1.1b4a26eca1c47p-23,-0x1.c991e80d70cp-7,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3e45ed7181c29p+3,0x1.65fbbabf54a55p-12,0x1.6d69bcde373ecp-12,0x1.6a368d981e6ap-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x1.31b67b3d7a78ep-3,0x1.30de4dfce98f6p-3,0x1.333333333334p-3
0.0300,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,-0x1.194642fb0d35ap-21,0x1.e05ddee764e1p-16,0x1.e168a4d8d1422p-16,0x1.bcd83110b0b18p-16,-0x1.bcf14f7395ae4p-25,-0x1.0dade1a92e1bbp-28,-0x1.a5a6b59489813p-26,0x1.ace4dp-13,-0x1.1d4522p-13,0x1.2f203ep-15,-0x1.b78e4f711de64p-35,0x1.6a9c5ac87d246p-31,-0x1.3509ff30dap-13,0x1.862fb7cb540d4p-9,0x1.864dcd165a9c4p-9,0x1.648e0e3909a89p-9,-0x1.32df3f07a012fp-16,-0x1.caf4246a048dp-24,-0x1.0b1b81eafb7e4p-17,0x1.62e2d21d4e86fp-12,0x1.6729ee993eb37p-12,0x1.65d8bbdc4b57ep-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.dbaf340efe45cp-16,0x1.4a2e2204d27c8p-18,-0x1.986d3ce24a52cp-16,0x1.204c4ad23d6a6p+2,-0x1.cf417cad5p-18,0x1.73d2b3694p-21,-0x1.aa94f315dap-18,-0x1.4a1ca710fd271p-25,0x1.1053420c0d295p-21,-0x1.1aed267bd3cp-6,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3e2adb5847356p+3,0x1.5ad7b2a57e17ep-12,0x1.6de8f753b178cp-12,0x1.65acca86a03d2p-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x1.30e6b2adcb874p-3,0x1.2fc1e896bde19p-3,0x1.1e98d11e43b15p-3
0.0350,0x1.8p+1,0x1.8p+1,0x1.8p+1,-0x1.1950d6aecb74ap-42,0x1.d0244b3e10d26p-39,-0x1.526c16bb82c3cp-20,0x1.e05ddee764e1p-16,0x1.e168a4d8d1422p-16,0x1.bcd83110b0b18p-16,-0x1.33a23ebd6dc2dp-23,-0x1.32654a04d9ef3p-28,-0x1.145c8fe50c7dap-24,0x1.ced3f8p-13,-0x1.1986ccp-13,0x1.7ff9d8p-15,-0x1.0a3753929ccb8p-32,0x1.b73a9e6fa0c5ap-29,-0x1.ea1ca72e2e51ep-13,0x1.862fb7cb540d4p-9,0x1.864dcd165a9c4p-9,0x1.648e0e3909a89p-9,-0x1.1ab152e03d66p-15,0x1.23da4b6b93614p-20,-0x1.d45346b25a297p-17,0x1.596a552db918dp-12,0x1.6988978f70f39p-12,0x1.6320156fc91fcp-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.dbaf340efe45cp-16,0x1.4a2e2204d27c8p-18,-0x1.986d3ce24a52cp-16,0x1.203735ea65e95p+2,-0x1.4522248038p-17,0x1.8023ce96ep-20,-0x1.1c61afd9178p-17,-0x1.76f2ca49c8998p-25,0x1.7876dc6e025b1p-20,-0x1.48c18dcac6p-6,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3e13f1249fbf5p+3,0x1.4aaf7c39f06c5p-12,0x1.6f2980e163ac7p-12,0x1.5f630c606547cp-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x1.30e6b2adcb874p-3,0x1.2fc1e896bde19p-3,0x1.1e98d11e43b15p-3
0.0400,0x1.8p+1,0x1.8p+1,0x1.8p+1,-0x1.9b15e852e1f62p-40,0x1.531fd01599a31p-36,-0x1.460c036c88865p-19,0x1.010b00bda7d9p-14,0x1.0136a48bfdddp-14,0x1.d087c08bf4f3ap-15,-0x1.4ebd7d59433f4p-22,0x1.0cb354109b058p-30,-0x1.200b7d665fdeep-23,0x1.f0a7dp-13,-0x1.15f9b8p-13,0x1.d0500ep-15,-0x1.fa2edf46f438p-32,0x1.5ebe90d812a92p-27,-0x1.5e4206156bp-12,0x1.22e31446b5b03p-8,0x1.22a0b5efa0f2p-8,0x1.fb62ca826bb43p-9,-0x1.d020f2a0ebbf9p-15,0x1.dd14eda1c8498p-19,-0x1.704e0e6bdf9fp-16,0x1.49af9cb8aa2b3p-12,0x1.6c01d7c985516p-12,0x1.5dbcc82ef5c0ap-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.04a0dd58e010ep-15,0x1.2c6d2907fd321p-18,-0x1.d332d08a5435ap-16,0x1.20255d889be99p+2,-0x1.9448b6a3ccp-17,0x1.13f7e0a6cp-19,-0x1.588efcc51p-17,0x1.48c12b47d3db6p-27,0x1.9989575dad8cap-19,-0x1.6f8cd1ae86ep-6,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3e008b82adec1p+3,0x1.34018841daa12p-12,0x1.71bfd0713ba9ap-12,0x1.5700c5af3a1f2p-12,0x1.68501e3935f12p+4,-0x1.532721e9591d7p-2,-0x1.4f366f89cdbdfp+5,0x0p+0,0x0p+0,-0x1.194642fb0d35ap-21,0x1.30a39245f9413p-3,0x1.2f18fce99f879p-3,0x1.0fd58e63bf333p-3
0.0450,0x1.8p+1,0x1.8p+1,0x1.8p+1,-0x1.08bffef839d72p-38,0x1.3541ea523f26fp-34,-0x1.131b2260f5dccp-18,0x1.010b00bda7d9p-14,0x1.0136a48bfdddp-14,0x1.d087c08bf4f3ap-15,-0x1.3be42b0a0d6eap-21,0x1.422021b105962p-26,-0x1.05e148d31e427p-22,0x1.09046ep-12,-0x1.12650ap-13,0x1.10088p-14,-0x1.c59515cad2526p-32,0x1.b579bdc6b5d78p-26,-0x1.d3dfb9d262f5cp-12,0x1.22e31446b5b03p-8,0x1.22a0b5efa0f2p-8,0x1.fb62ca826bb43p-9,-0x1.58dde79676036p-14,0x1.dc71eabba9c12p-18,-0x1.096a900aba2ap-15,0x1.340daf78d29a2p-12,0x1.6f156c0e92458p-12,0x1.561da18b1f18ep-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.04a0dd58e010ep-15,0x1.2c6d2907fd321p-18,-0x1.d332d08a5435ap-16,0x1.2016427b54d94p+2,-0x1.e84583cd3cp-17,0x1.4efabfde7p-19,-0x1.a1107f1601p-17,0x1.8a068227ea9b1p-23,0x1.82658f85fb5abp-18,-0x1.9063741cd3ap-6,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3df0203176f09p+3,0x1.17ce2cb05a984p-12,0x1.75776e40e6c01p-12,0x1.4cd85494a0d3dp-12,0x1.68501e3935f12p+4,-0x1.532721e9591d7p-2,-0x1.4f366f89cdbdfp+5,0x0p+0,0x0p+0,-0x1.194642fb0d35ap-21,0x1.30a39245f9413p-3,0x1.2f18fce99f879p-3,0x1.0fd58e63bf333p-3
0.0500,0x1.8p+1,0x1.8p+1,0x1.8p+1,-0x1.99e5769549f18p-38,0x1.b29cf3bcc727ap-33,-0x1.a8d35dd77bedfp-18,0x1.b1846bab8eefp-14,0x1.b1588f2bd599fp-14,0x1.7bb22ab1bff98p-14,-0x1.0c4d92e140b1ep-20,0x1.d1fc9ba21aed2p-25,-0x1.afbf171f0b8fep-22,0x1.198a32p-12,-0x1.0ed82ep-13,0x1.3793bp-14,0x1.158fb54daea79p-31,0x1.d2081c05e74ecp-25,-0x1.29ffc68767d1fp-11,0x1.80ac80ef2c9fp-8,0x1.7fee70c12f817p-8,0x1.40316295d4b65p-8,-0x1.e11a712cc2414p-14,0x1.7e9c549884759p-17,-0x1.6bc7cfa062e56p-15,0x1.188a544fdea87p-12,0x1.72daff84b6672p-12,0x1.4c4e8702fd395p-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.167fc5eb95e5ap-15,0x1.0bd047d45d92bp-18,-0x1.02db0480368ffp-15,0x1.20097917d0d08p+2,-0x1.17aec670dp-16,0x1.80ee70c54p-19,-0x1.de70798102p-17,0x1.1cf2f7e2d95dp-21,0x1.48214d1876fccp-17,-0x1.ac2f841b58ep-6,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3de23a29781edp+3,0x1.eb7e14958f118p-13,0x1.79fa893abc3ccp-12,0x1.408caca1ebbc6p-12,0x1.68501e3935f12p+4,-0x1.532721e9591d7p-2,-0x1.4f366f89cdbdfp+5,-0x1.9b15e852e1f62p-40,0x1.531fd01599a31p-36,-0x1.460c036c88865p-19,0x1.30958d5cf3f79p-3,0x1.2e72c83d95a3ap-3,0x1.054198fd6b131p-3
0.0550,0x1.8p+1,0x1.8p+1,0x1.8p+1,-0x1.d0839eb2aa16cp-39,0x1.01c88d94ec728p-31,-0x1.33c5c57d78c98p-17,0x1.b1846bab8eefp-14,0x1.b1588f2bd599fp-14,0x1.7bb22ab1bff98p-14,-0x1.a6418e57bfe45p-20,0x1.dddcff4698903p-24,-0x1.4c4873d89a6cap-21,0x1.29c93cp-12,-0x1.0b3ffp-13,0x1.5ec09ap-14,0x1.b2200be66d68ap-29,0x1.bb04e33154492p-24,-0x1.6e824210e6ae2p-11,0x1.80ac80ef2c9fp-8,0x1.7fee70c12f817p-8,0x1.40316295d4b65p-8,-0x1.3e968e72efccp-13,0x1.1243df74f64a8p-16,-0x1.dc9eb6b40c815p-15,0x1.ef2f22c43e65fp-13,0x1.774fdd7269022p-12,0x1.407e5b0d2bb3fp-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.167fc5eb95e5ap-15,0x1.0bd047d45d92bp-18,-0x1.02db0480368ffp-15,0x1.1ffea63ab2a9ep+2,-0x1.3cc4cc7e54p-16,0x1.a2144c5b5p-19,-0x1.1237f5a275p-16,0x1.242b463d4b9f8p-20,0x1.022b0ac38b383p-16,-0x1.c3b72205d88p-6,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3dd6765a83de7p+3,0x1.9d74beb900662p-13,0x1.7f29e48d477dcp-12,0x1.3271cfbf7688ep-12,0x1.68501e3935f12p+4,-0x1.532721e9591d7p-2,-0x1.4f366f89cdbdfp+5,-0x1.9b15e852e1f62p-40,0x1.531fd01599a31p-36,-0x1.460c036c88865p-19,0x1.30958d5cf3f79p-3,0x1.2e72c83d95a3ap-3,0x1.054198fd6b131p-3
0.0600,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x1.b78d3c09a414bp-37,0x1.0ea8668853c14p-30,-0x1.a90e2c8d1ec3cp-17,0x1.40f9d5907008cp-13,0x1.408eb9ca9e5b9p-13,0x1.0faa39ee6b43fp-13,-0x1.39138464a11a8p-19,0x1.9e75d9ff749dcp-23,-0x1.e4cd2db70970cp-21,0x1.39d096p-12,-0x1.079ef8p-13,0x1.85849cp-14,0x1.2784fcba6f974p-27,0x1.82bcb5ecda488p-23,-0x1.b6c884f31dccep-11,0x1.dbedb1f27ba3dp-8,0x1.da80e731346c6p-8,0x1.7b57d0235675dp-8,-0x1.96f8e48966028p-13,0x1.6c5e83161428ap-16,-0x1.2efbf30c48dd4p-14,0x1.a2ac2da369b16p-13,0x1.7c5663398c29ap-12,0x1.32a5acfc699b7p-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.2396a6d1cf6c6p-15,0x1.ccee830dd53bbp-19,-0x1.184b541a355f2p-15,0x1.1ff57cbe67adbp+2,-0x1.5c2950f9d8p-16,0x1.be236bf9fp-19,-0x1.2fd8335b388p-16,0x1.fabf072000195p-20,0x1.7ec87e30b9451p-16,-0x1.d7a203b8022p-6,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3dcc80e9accc5p+3,0x1.451268a28a2fap-13,0x1.84cb8ec7595bap-12,0x1.2246a9d2e5e1cp-12,0x1.685026edad66dp+4,-0x1.530c7738e0166p-2,-0x1.4f366d1fcb07ap+5,-0x1.99e5769549f18p-38,0x1.b29cf3bcc727ap-33,-0x1.a8d35dd77bedfp-18,0x1.309b9c0b010f7p-3,0x1.2dcfdcc16c34ep-3,0x1.fb5a855fecf2cp-4
0.0650,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x1.e82721dc9174ep-35,0x1.0315b5298e72bp-29,-0x1.1abba66d756e3p-16,0x1.40f9d5907008cp-13,0x1.408eb9ca9e5b9p-13,0x1.0faa39ee6b43fp-13,-0x1.bb4eaf6b016ecp-19,0x1.43d3d16bb9634p-22,-0x1.535b120c84baap-20,0x1.4985a6p-12,-0x1.03f0a2p-13,0x1.abd78ap-14,0x1.35eb247bf025ap-26,0x1.3bdbf3fbc725ep-22,-0x1.011f4d0328ab9p-10,0x1.dbedb1f27ba3dp-8,0x1.da80e731346c6p-8,0x1.7b57d0235675dp-8,-0x1.f81d8f1e41dep-13,0x1.cc855c3a1d189p-16,-0x1.76a546e44edc3p-14,0x1.4c717752cbabbp-13,0x1.81d6da6cd82e9p-12,0x1.22e802d7286afp-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.2396a6d1cf6c6p-15,0x1.ccee830dd53bbp-19,-0x1.184b541a355f2p-15,0x1.1fedbb5548c36p+2,-0x1.7c38bee2p-16,0x1.cbe064b23p-19,-0x1.50ad4cff8p-16,0x1.8be4586e71e1fp-19,0x1.0efa09f697371p-15,-0x1.e87e1fec604p-6,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3dc412db96534p+3,0x1.c7db7c1b5ca84p-14,0x1.8acdfc5999eaap-12,0x1.105c54dce462p-12,0x1.685026edad66dp+4,-0x1.530c7738e0166p-2,-0x1.4f366d1fcb07ap+5,-0x1.99e5769549f18p-38,0x1.b29cf3bcc727ap-33,-0x1.a8d35dd77bedfp-18,0x1.309b9c0b010f7p-3,0x1.2dcfdcc16c34ep-3,0x1.fb5a855fecf2cp-4
0.0700,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x1.4062d593432dap-33,0x1.cd3c13df2c9f6p-29,-0x1.6d031b3b45014p-16,0x1.b5d2b4b9928dep-13,0x1.b4df10d461dep-13,0x1.658280e0f902bp-13,-0x1.2e4fea148e056p-18,0x1.d73149b10067ep-22,-0x1.cb3e11fd2b5dfp-20,0x1.58f826p-12,-0x1.0032d8p-13,0x1.d1afe6p-14,0x1.19a50ab33b3c6p-25,0x1.e948c728f4b9cp-22,-0x1.2833a17c780cep-10,0x1.1a1aba0e637d5p-7,0x1.18f28d62ced4cp-7,0x1.b03e4a824f167p-8,-0x1.311a1f0028c4ap-12,0x1.17d12c34d51afp-15,-0x1.c60cf012c9e51p-14,0x1.d9becb7ef1c2bp-14,0x1.87ad17d208bbbp-12,0x1.11402a9e0bab7p-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.2c2fa942ba65p-15,0x1.7aa9ebe8d7297p-19,-0x1.29fe2655ad96dp-15,0x1.1fe72ab825ea2p+2,-0x1.975c2f3fccp-16,0x1.d781720c7p-19,-0x1.6c781080488p-16,0x1.200053f86e705p-18,0x1.718cf5dbe70e8p-15,-0x1.f6c3a2185c2p-6,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3dbcf01a86b51p+3,0x1.e75c3cae7aa38p-15,0x1.90ffcc1c92bc7p-12,0x1.f904d5228b3fap-13,0x1.685026edad66dp+4,-0x1.530c7738e0166p-2,-0x1.4f366d1fcb07ap+5,0x1.b78d3c09a414bp-37,0x1.0ea8668853c14p-30,-0x1.a90e2c8d1ec3cp-17,0x1.30a9798c4754cp-3,0x1.2d31893687488p-3,0x1.f07de57a41da4p-4
0.0750,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x1.54721579c78p-32,0x1.8330352fe49fap-28,-0x1.cbcbf2bf4276p-16,0x1.b5d2b4b9928dep-13,0x1.b4df10d461dep-13,0x1.658280e0f902bp-13,-0x1.8ff1e090ad791p-18,0x1.4522ec8fa1b6dp-21,-0x1.2e44f8932e482p-19,0x1.680e8cp-12,-0x1.f8cdccp-14,0x1.f705aep-14,0x1.d1f72bf61146dp-25,0x1.6ae5f9ef53a93p-21,-0x1.506c3dd05675dp-10,0x1.1a1aba0e637d5p-7,0x1.18f28d62ced4cp-7,0x1.b03e4a824f167p-8,-0x1.69eeb0d599e7ap-12,0x1.4aa094f576804p-15,-0x1.0e014dae28e3p-13,0x1.09a1cc5345894p-14,0x1.8dc2ef456b11ep-12,0x1.fba0c3b1f84e2p-13,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.2c2fa942ba65p-15,0x1.7aa9ebe8d7297p-19,-0x1.29fe2655ad96dp-15,0x1.1fe19c1c4666bp+2,-0x1.b259e82662p-16,0x1.d5e1e1b8fp-19,-0x1.8a93b1a6cbcp-16,0x1.8d6e23300769cp-18,0x1.e8dc7c7cfc95bp-15,-0x1.016c2178c7bp-5,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3db6e5ca24741p+3,0x1.05bd70178c5cp-18,0x1.9759b934a6e92p-12,0x1.ce09ff7dc74f2p-13,0x1.685026edad66dp+4,-0x1.530c7738e0166p-2,-0x1.4f366d1fcb07ap+5,0x1.b78d3c09a414bp-37,0x1.0ea8668853c14p-30,-0x1.a90e2c8d1ec3cp-17,0x1.30a9798c4754cp-3,0x1.2d31893687488p-3,0x1.f07de57a41da4p-4
